================================================================================
SSR TUITION CLASSES (CLASSES 1-10) - MASTER CREDENTIALS DIRECTORY
================================================================================
Teacher & Founder: Samba Siva Reddy Annem | SSR Tuition Single-Teacher Excellence
Supported Boards: CBSE | ICSE | TG State Board | AP State Board | Karnataka SSLC
                  Maharashtra SSC | Tamil Nadu State Board | IGCSE | IB | NIOS
--------------------------------------------------------------------------------
TEACHER CREDENTIALS: Username: Dinesh_A | Password: Dinesh@1
STUDENT CREDENTIALS (50 STUDENTS): student01 to student50 | Pass: stdpass01 to stdpass50 (8-10 chars)
PARENT CREDENTIALS (50 PARENTS)  : parent_01 to parent_50 | Pass: prnpass01 to prnpass50 (8-10 chars)
================================================================================

--- 1. TEACHER CREDENTIALS ---
[TEACHER] | Username: Dinesh_A | Password: Dinesh@1 | Name: Samba Siva Reddy Annem

--- 2. STUDENT CREDENTIALS (50 STUDENTS) ---
[STUDENT #01] | Roll: 1001 | Username: student01    | Password: stdpass01    | Board: CBSE
[STUDENT #02] | Roll: 1002 | Username: student02    | Password: stdpass02    | Board: ICSE
[STUDENT #03] | Roll: 1003 | Username: student03    | Password: stdpass03    | Board: TG State Board
[STUDENT #04] | Roll: 1004 | Username: student04    | Password: stdpass04    | Board: AP State Board
[STUDENT #05] | Roll: 1005 | Username: student05    | Password: stdpass05    | Board: Karnataka SSLC
[STUDENT #06] | Roll: 1006 | Username: student06    | Password: stdpass06    | Board: Maharashtra SSC
[STUDENT #07] | Roll: 1007 | Username: student07    | Password: stdpass07    | Board: Tamil Nadu State Board
[STUDENT #08] | Roll: 1008 | Username: student08    | Password: stdpass08    | Board: IGCSE
[STUDENT #09] | Roll: 1009 | Username: student09    | Password: stdpass09    | Board: IB
[STUDENT #10] | Roll: 1010 | Username: student10    | Password: stdpass10    | Board: NIOS
[STUDENT #11] | Roll: 1011 | Username: student11    | Password: stdpass11    | Board: CBSE
[STUDENT #12] | Roll: 1012 | Username: student12    | Password: stdpass12    | Board: ICSE
[STUDENT #13] | Roll: 1013 | Username: student13    | Password: stdpass13    | Board: TG State Board
[STUDENT #14] | Roll: 1014 | Username: student14    | Password: stdpass14    | Board: AP State Board
